Micrometer Position (mm),Voltage (V)
0,0.011
0.05,0.011
0.1,0.011
0.15,0.011
0.2,0.011
0.25,0.011
0.3,0.011
0.35,0.011
0.4,0.011
0.45,0.011
0.5,0.011
0.55,0.011
0.6,0.011
0.65,0.011
0.7,0.011
0.75,0.011
0.8,0.011
0.85,0.011
0.9,0.011
0.95,0.011
1,0.011
1.05,0.01
1.1,0.011
1.15,0.01
1.2,0.01
1.25,0.01
1.3,0.012
1.35,0.012
1.4,0.012
1.45,0.013
1.5,0.015
1.55,0.015
1.6,0.015
1.65,0.015
1.7,0.015
1.75,0.014
1.8,0.012
1.85,0.012
1.9,0.012
1.95,0.011
2,0.012
2.05,0.012
2.1,0.013
2.15,0.014
2.2,0.016
2.25,0.018
2.3,0.019
2.35,0.019
2.4,0.018
2.45,0.017
2.5,0.015
2.55,0.015
2.6,0.015
2.65,0.015
2.7,0.016
2.75,0.018
2.8,0.019
2.85,0.02
2.9,0.022
2.95,0.021
3,0.022
3.05,0.021
3.1,0.02
3.15,0.022
3.2,0.023
3.25,0.026
3.3,0.032
3.35,0.037
3.4,0.042
3.45,0.045
3.5,0.046
3.55,0.046
3.6,0.046
3.65,0.039
3.7,0.035
3.75,0.026
3.8,0.024
3.85,0.026
3.9,0.032
3.95,0.043
4,0.06
4.05,0.065
4.1,0.08
4.15,0.075
4.2,0.097
4.25,0.098
4.3,0.087
4.35,0.073
4.4,0.057
4.45,0.042
4.5,0.035
4.55,0.035
4.6,0.04
4.65,0.062
4.7,0.09
4.75,0.123
4.8,0.152
4.85,0.162
4.9,0.182
4.95,0.182
5,0.169
5.05,0.145
5.1,0.115
5.15,0.087
5.2,0.066
5.25,0.055
5.3,0.061
5.35,0.087
5.4,0.123
5.45,0.165
5.5,0.214
5.55,0.249
5.6,0.294
5.65,0.278
5.7,0.281
5.75,0.252
5.8,0.25
5.85,0.165
5.9,0.12
5.95,0.092
6,0.084
6.05,0.099
6.1,0.135
6.15,0.186
6.2,0.24
6.25,0.267
6.3,0.332
6.35,0.352
6.4,0.359
6.45,0.334
6.5,0.325
6.55,0.245
6.6,0.189
6.65,0.144
6.7,0.117
6.75,0.128
6.8,0.131
6.85,0.172
6.9,0.233
6.95,0.301
7,0.318
7.05,0.397
7.1,0.41
7.15,0.403
7.2,0.373
7.25,0.332
7.3,0.267
7.35,0.218
7.4,0.158
7.45,0.137
7.5,0.134
7.55,0.158
7.6,0.21
7.65,0.233
7.7,0.291
7.75,0.37
7.8,0.397
7.85,0.407
7.9,0.4
7.95,0.354
8,0.298
8.05,0.305
8.1,0.221
8.15,0.141
8.2,0.128
8.25,0.135
8.3,0.153
8.35,0.205
8.4,0.256
8.45,0.298
8.5,0.331
8.55,0.354
8.6,0.344
8.65,0.32
8.7,0.305
8.75,0.246
8.8,0.206
8.85,0.13
8.9,0.109
8.95,0.095
9,0.094
9.05,0.113
9.1,0.145
9.15,0.156
9.2,0.192
9.25,0.199
9.3,0.202
9.35,0.183
9.4,0.175
9.45,0.145
9.5,0.083
9.55,0.05
9.6,0.026
9.65,0.015
9.7,0.012
9.75,0.012
9.8,0.012
9.85,0.012
9.9,0.012
9.95,0.012
10,0.012
10.05,0.011
10.1,0.011
10.15,0.01
10.2,0.011
10.25,0.011
10.3,0.01
10.35,0.011
10.4,0.01
10.45,0.011
10.5,0.011
10.55,0.011
10.6,0.011
10.65,0.01
10.7,0.01
10.75,0.01
10.8,0.01
10.85,0.01
10.9,0.011
10.95,0.011
11,0.011
11.05,0.011
11.1,0.011
11.15,0.011
11.2,0.011
11.25,0.011
11.3,0.011
11.35,0.011
11.4,0.011
11.45,0.011
11.5,0.011
11.55,0.011
11.6,0.011
11.65,0.011
11.7,0.011
11.75,0.011
11.8,0.011
11.85,0.011
11.9,0.011
11.95,0.011
12,0.011
12.05,0.011
12.1,0.011
12.15,0.011
12.2,0.011
12.25,0.011
12.3,0.011
12.35,0.011
12.4,0.011
12.45,0.011
12.5,0.011
12.55,0.011
12.6,0.011
12.65,0.011
12.7,0.011
12.75,0.011
12.8,0.011
12.85,0.011
12.9,0.011
12.95,0.011
13,0.011