Freqency [mHz],Max pk-pk [V],Max Amplitude [V]
700,0.416,0.208
710,0.36,0.18
720,0.328,0.164
730,0.344,0.172
740,0.368,0.184
750,0.384,0.192
760,0.416,0.208
770,0.464,0.232
780,0.512,0.256
790,0.568,0.284
800,0.648,0.324
810,0.744,0.372
820,0.928,0.464
830,1.14,0.57
840,1.62,0.81
842,1.78,0.89
844,1.84,0.92
846,2.04,1.02
848,2.28,1.14
850,2.68,1.34
852,3.04,1.52
854,3.64,1.82
856,0,0
858,0,0
860,0,0
862,0,0
864,0,0
866,0,0
868,0,0
870,0,0
872,0,0
874,0,0
876,0,0
878,0,0
880,0,0
890,0,0
900,0,0
910,0,0
920,0,0
930,0,0
940,0,0
950,0,0
960,0,0
970,0,0
980,0,0
990,0,0
1000,0,0